Name of Product,Batch No,Manufactured By,Reporting Month & Year
Azithromycin Tablets IP 500 mg (ZIK 500 Tablets),NZKT-013,"M/s. M Sea Pharmaceuticals (P) Ltd., Surajpur, Paonta Sahib, Sirmour, Himachal Pradesh - 173025.",01-07-2024
Ceflxime Tablets IP (Zimspor-200),MBT-03023,"M/s. Mestra Pharma Pvt. Ltd., AT: 44-45, Shiv Ganga Industrial Estate, Lakeshwari, Bhagwanpur Roorkee, Haridwar (UK)",01-07-2024
Ciprofloxacin Tablets I.P. 500 mg (Ocif- 500 Tablets),OCF5-23-222,"M/s. Ornate Labs Pvt. Ltd., Bela Industrial Estate, Muzaffarpur - 842 005.",01-07-2024
"Calcium Aspartate, Calcium Orotate, Calcitriol, Minerals and Vitamins Tablets (Ezorb Forte Tablets)",EZF-1873,"M/s. Overseas Health Care Pvt. Ltd., 335 Km. Milestone, National Highway No. 1, P.O. Box No. 25, Phillaur-144 410 (Pb).",01-07-2024
Calcium Gluconate Injection I.P. 10 ml,CLG-4148,"M/s. Priya Pharmaceuticals, 109/397, Nehru Nagar, Kanpur-12",01-07-2024
Azithromycin Tablets IP 500 mg (Aziley-500 Tablets),NZYMT-223,"M/s. M Sea Pharmaceuticals (P) Ltd., Surajpur, Paonta Sahib, Sirmour, Himachal Pradesh - 173001.",01-07-2024
Propylene Glycol IP,PG-IP/2023- 24/2339,"M/s. Manali Petrochemicals Limited, Plant II Sathangadu Village, Manali, Chennai- 600068",01-07-2024
Ofloxacin & Ornidazole Tablets IP (Samri-OZ),UGT23J14A,"M/s. Unigrow Pharmaceuticals, Vill. Katha, Baddi, Distt. Solan, HP",01-07-2024
Calcium 500 mg with Vitamin D3 250 IU Tablets IP,LMT240376,"Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector- 6A, IIE, SIDCUL, Haridwar 249403 (U.K)",01-07-2024
Calcium 500 mg. with Vitamin D3 250 IU Tablets IP,LMT240412,"Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector- 6A, IIE, SIDCUL, Haridwar249403 (U.K)",01-07-2024
Calcium 500 mg with Vitamin D3 250 IU Tablets IP,LMT240335,"Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector- 6A, IIE, SIDCUL, Haridwar-249403 (U.K)",01-07-2024
Calcium 500 mg and Vitamin D3 250 IU Tablets IP,LMT240348,"Life Max Cancer Laboratories, Plot No. 106 & 106 A, Sector- 6A, IIE, SIDCUL, Haridwar-249403 (U.K)",01-07-2024
ONDANSETR ON ORALLY DISINTEGRAT ING TABLETS IP 4mg,T-15842,"M/s. KARNANI PHARMACEUTICALS PVT. LTD. Fact : 38, Pharma City, Selaqui, Dehradun- 248011 (Uttarakhand)",01-07-2024
ONDANSETR ON ORALLY DISINTEGRAT ING TABLETS IP 4mg,T-15961,"M/s. KARNANI PHARMACEUTICALS PVT. LTD. Fact : 38, Pharma City, Selaqui, Dehradun- 248011 (Uttarakhand)",01-07-2024
"Synetivit Capsules (Omega-3 Fatty Acid, Green Tea Extract, Ginkgo Biloba, Ginseng, Grape Seeds Extract, Vitamins, Minerals & Trace Elements Soft Gelatin Capsules)",LSG-2890,"M/s. Lifevision Healthcare, Plot No. 140-141, EPIP, Phase-1, Jharmajri, Baddi, Distt. Solan (H.P.) 174103",01-07-2024
Albendazole Tablets IP 400 mg (Zento 400),VGT230119,"VAPI CARE PHARMA PVT. LTD., PLOT NO.225/3, NEAR MORARJI CIRCLE, GIDC VAPI, DIST.VALSAD-396195 GUJARAT",01-07-2024
"Bromhexine Hydrochloride, Terbutaline Sulphate and Guaiphenesin Syrup (T-KUF Expectorant COUGH SYRUP)",UF2184145C,"Ultra Drugs Formulations Pvt. Ltd., Plot No. 338/278, Vill. Manakpur, Lodhimajra, Tehsil-Baddi, Distt. Solan, (H.P.) 173205",01-07-2024
Tranexamic Acid Injection IP (Stopmust Injection),KEI-110C,"Elvia Care Pvt. Ltd., Vill Gullarwala, Near Sai Road, Baddi, Distt. Solan (H.P.)",01-07-2024
Irinotecan Inj.IP 100 mg vial,D0368/23- 24,"Supplied by Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram -14",01-07-2024
Salbutamol Nebuliser Solution BP 5 mg/ml,CHS-3085,"Cotec Healthcare Pvt.Ltd, N.H.No. 74, Roorkee , Dehradun , High way, Kishanpur, Roorkee Uttarakhand",01-07-2024
Bioglip 1 Tablets,BEL23021,"IBN Herbals, Khasra No. 63, Vill, Juddi Kalan, Baddi-173205, Distt. Solan (HP)",01-07-2024
Iron & Folic Acid Syrup IP (JKMSCL Hospital Supply),SY-1641,"Jackson Laboratories Pvt. Ltd 22-24, Majitha Road Bye Pass Amritsar 143001 , India",01-07-2024
Fluorometholone Eye drops IP,CHE 3044,"Cotec Healthcare Pvt.Ltd, K.H.No. 593/1 Roorkee , Dehradun , High way, Kishanpur, Roorkee- 247667 Uttarakhand",01-07-2024
Pantoprazole Tablets IP,MT-23K36,"MARTIN & BROWN BIO-SCIENCES PVT. LTD., K.NO. 918/419, MALKUMAJRA, NALAGARH ROAD, BADDI, DIST.SOLAN (H.P.)-173205",01-07-2024
RABEPRAZOL E TABLETS IP,MT-24B23,"MARTIN & BROWN BIO-SCIENCES PVT. LTD., K.NO. 918/419, MALKUMAJRA, NALAGARH ROAD, BADDI, DIST.SOLAN (H.P.)-173205",01-07-2024
RABEPRAZOL E TABLETS IP,MT-24B26,"MARTIN & BROWN BIO-SCIENCES PVT. LTD., K.NO. 918/419, MALKUMAJRA, NALAGARH ROAD, BADDI, DIST.SOLAN (H.P.)-173205",01-07-2024
Amoxycillin & Potassium Claulanate Tablets I.P. (Zalmoxi-CV 625),MICTAB- 1602,"Micro Formulations,, Chambaghat, Near Railway Crossing, Solan, Distt. Solan (H.P.) 173211",01-07-2024
Cephalexin Oral Suspension IP 125/500,CHDA-01,"Nestor Pharmaceuticals Ltd, 11, Western Extension Area, Faridabad",01-07-2024
Pantoprazole for Injection BP (Glanpan IV Injection),PNDA4C22A,"Aarge Healthcraft, 12A/1, Sector-2, Indl. Area, Parwanoo-173220 (H.P.)",01-07-2024
Levetiracetam Tablets IP (Levodil-500),GAG0628,"Agron Remedies Pvt. Ltd., Sarverkhera, Moradabad Road, Kashipur-244713, Uttarakhand",01-07-2024
Pantoprazole Gastro- Resistant Tablets IP 40 mg,PGR-02,"Agron Remedies Pvt. Ltd., Sarverkhera, Moradabad Road, Kashipur-244713 (Uttarakhand)",01-07-2024
Acetylsalicylic Acid 75mg (Kardiorin AK),JTN23-211,"AK Krishna Pharma Ltd. Ltd., Plot No. 68, 69 & 82, 83 Sector-6A, SIDCUL, IIE, Dist. Haridwar, Uttarakhand, india.",01-07-2024
Cilader -10,AGT30720,"Alventa Pharma Ltd, Vill, Kishanpura, Baddi- Nalagarh Road, tehsil, baddi, Dist, Solan (HP)",01-07-2024
Amoxycillin and Potassium Clavulanate Tablets IP (Pressclav- 625),CT5023001A,"Aurobindo Pharma Limited, Unit XII, Survey No. 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District. Telangana State, india - 500090.",01-07-2024
Lingocaine & Adrenaline Injection IP (Lignocop- ADR),305,"Carewin Pharmaceuticals (Guj) Pvt. Ltd., 38, Saket Ind. Estate-II Sarkhej- Bavla NH-8A, PO. Moraiya, Ahmedabad, (Guj.) Pin-382210",01-07-2024
New improved Gentle Daily care Natural protein Shampoo,B20240005 2,"Himalaya Wellness Company, No-182, Village Guru Majra, Tehsil, Baddi-174101 Dist Solan (HP)",01-07-2024
Carboplatin USP,CN24010001,"M/s Hetero Labs Limited (Unit-I), Survey No.10, I.D.A., Gaddalotharam, Village: Jinnaram Mandal, Sangareddy Distt. Telangana, India",01-07-2024
Itraconazole 100mg Capsules (FUNGOBEE Capsules),MAR-24154,"M/s. Bonsai Pharma, Kishanpura, Baddi- Nalagarh Road, P.O. Gurumajra, Distt-Solan (H.P.).",01-07-2024
Pantoprazole Tablets 40 mg I.P. (MEDIPANTO-40 Tablets),FEB24144,"M/s. Bonsai Pharma, Kishanpura, Baddi- Nalagarh Road, P.O. Gurumajra, Distt-Solan (H.P.).",01-07-2024
"Calcium Carbonate, Calcitriol, Methylcobalam in, Folic Acid & Vitamin B6 Soft Gelatin Capsules (CAMED-CM)",DBIS-8889B,"M/s. Broad Injectables Plot No. 51-52, Ind. Area, Tahliwal, Distt. Una-174301 (H.P.)",01-07-2024
Tamsulosin and Dutasteride Tablets (Urimax-D),GH30334,"M/s. Cipla Ltd., Verna Indl. State, Goa- 403722",01-07-2024
Budesonide Nebuliser Suspension BP (Budecort Respules),SN30395,"M/s. Cipla Ltd. (Unit-II), Taza Block, Rorathang, Sikkim 737133, India.",01-07-2024
Sterile Noradrenaline Concentrate IP (ADRAID),DP4095,"M/s. Divine Laboratories Pvt. Ltd., Block No. 471, Dabhasa, Tal. Padra, Dist. Vadodara- 391440, India",01-07-2024
Compound Sodium Lactate Injection I.P. (Ringer Lactate Solution for Injection) (Hi- Ring-RL),F31823,"M/s. Higgs Healthcare, Khasra No. 480/1, Bhatolikalan, Baddi, H.P.",01-07-2024
Compound Sodium Lactate Injection IP (Ringers Lactate Solution for Injection),2918,"M/s. HINDUSTAN ANTIBIOTICS LTD., Pimpri,Pune-411018, INDIA",01-07-2024
Ivermectin Tablets I.P. 6 mg,JDJS403,"M/s. J. DUNCAN HEALTH CARE PVT.LTD., Plot No. 65, 66, 67, Phase-II, Atgaon, Industrial Complex, Atgaon, Tal- Shahapur, Dist-Thane- 421601, Maharashtra State, India.",01-07-2024
Carbamazepin e Extended-Release Tablets IP 200 mg,TCRN-004,"M/s. J.P. Industries, Bhud, Baddi, Dist-Solan, HP, India.",01-07-2024
Propylene Glycol IP,PG-IP/2023- 24/2435,"M/s. Manali Petrochemicals Limited, Plant II Sathangadu Village, Manali, Chennai- 600068",01-07-2024
COMPOUND SODIUM LACTATE INJECTION I.P. (RL),03BF2462,"PASCHIM BANGA PHARMACEUTICAL, NH-31, TIN MILE HAT, SONAPUR HAT, P.S.- CHOPRA, DIST : UTTAR DINAJPUR, PIN - 733214 (W.B.)",01-07-2024
Diclofenac Tablets IP 50mg (Snedic- 50),T24B008,"Snehal Pharma & Surgicals Pvt. Ltd., B1/11, MIDC Butibori, Nagpur-441108",01-07-2024
Vitamin B Complex tablet N.F.I.1,S0004/24- 25,"Supplied by Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram - 14",01-07-2024
Vitamin B Complex tablet N.F.I.1,S0003/24- 25,"Supplied by Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram - 14",01-07-2024
Chlorpromazine Tab IP 50 mg,D 0644/24- 25,"Supplied by Kerala Medical Services Corporation Ltd, Thycaud P.O, Thiruvananthapuram - 14",01-07-2024
Ciprofloxacin Hydrochloride Tablets IP 500 mg,CPXT-1016,"Wings Biotech LLP, 43&44, HPSIDC, Ind.Area, Baddi-173205 HP",01-07-2024
Atropine Sulphate Injection I.P. (Atropine Sulphate),AS-9057 (Two different samples received with same batch number),"M/s. Priya Pharmaceuticals 109/397, Nehru Nagar, Kanpur-208012, Uttar Pradesh",01-08-2024
Atropine Sulphate Injection I.P. (Atropine Sulphate),AS-9057 (Two different samples received with same batch number),"M/s. Priya Pharmaceuticals 109/397, Nehru Nagar, Kanpur-208012, Uttar Pradesh",01-08-2024
Diclofenac Sodium IP,DFS- 2405031,"M/s. Sara Exports Ltd. Plot No. 35, 35/1 & 36, South Side of GT Road, Industrial Area, Ghaziabad-201009 Uttar Pradesh,",01-08-2024
Heparin Sodium Injection IP 25000 IU / 5ml,GV3C002,"M/s. Scott-Edil Pharmacia Ltd., 56, E.P.I.P. Phase-1, Jharmajri, Baddi, Distt. Solan - 173 205 (H.P.), India",01-08-2024
Vitamin B Complex with Vitamin C Softgels,1423,"M/s. Asoj Soft Caps Pvt. Ltd., Asoj, Baroda-Halol Highway, Dist-Baroda- 391510, GUJRAT",01-08-2024
"Nimesulide, Phenylephrine Hydrochloride & Levocetirizine Dihydrochloride Tablets (Nunim- Cold)",T-23115,"M/s. Unispeed Pharmaceuticals Pvt. Ltd., 445/2, Behimd Wrigleys Vill. Katha, Baddi, Distt. Solan (H.P.) 173205",01-08-2024
"Vingel XL Pro Gel (Diclofenac Diethylamine, Linseed Oil, Methyl Salicylate and Menthol Gel)",F23208,"M/s. Universal Twin Labs, Village Gullarwala, Near Sai Road, Baddi, District Solan, H.P.",01-08-2024
Amoxycillin & Potassium Clavulanate Tablets (Mexclav 625),7372,"M/s. Meg Lifesciences, Khasara No. 47/5, Palli Gaon, Distt-Sirmour- 173001.",01-08-2024
Ciprofloxacin Tablets I.P. 500 mg (Ocif-500),OCF5-23- 221,"M/s. Ornate Labs Pvt. Ltd., Bela Industrial Estate, Muzaffarpur - 842 005",01-08-2024
Buflam Forte Suspension (Ibuprofen & Paracetamol Oral Suspension),231202A,"M/s. Ornate Pharma Pvt. Ltd., 2, G.V.M.S.A.V Ltd., Odhav, Ahmedabad 382 410, Gujrat, India",01-08-2024
Calcium And Vitamin D3 Tablets IP Shelcal 500 (Shelcal),GDXD0581,"M/s. Pure & Cure Healthcare Pvt. Ltd., Plot No. 26A, 27-30, Sector-8A, IIE, SIDCUL, Ranipur, Haridwar - 249 403, Uttarakhand.",01-08-2024
Montair LC Kid (Montelukast Sodium & Levocetirizne Hydrochloride Dispersible Tablets),AFB23W73,"M/s. Pure & Cure Healthcare Pvt. Ltd., Plot No. 26A, 27-30, Sector-8A, IIE, Sidcul, Ranipur, Haridwar 249 403, Uttarkhand",01-08-2024
Metformin Hydrochloride Sustained-release Tablets IP (Glycimet-SR-500),GT3J023,"M/s. Scott-Edil Pharmacia Ltd., 56, EPIP, Phase-1, Jharmajri, Baddi, Distt. Solan -173205 (HP), India",01-08-2024
